Year,Month,AdjParty,AdjPresident,NPEmployment,UnempRate,War,Recession,GDP,GDPGrowth,Productivity,Inflation,ConsConf,NetDomInv,FedFundIntRate,M2,Expenditure
1947,6,Democrat,Truman,43808,4.02,2,1,246.3,5.3,9.6,22,86.2,35.9,,,
1947,9,Democrat,Truman,44201,3.97,2,1,250.1,6.4,-11.3,23,90.8,34.5,,,
1947,12,Democrat,Truman,44579,4.16,2,1,260.3,17.3,17.8,23.4,87.1,34.9,,,
1948,3,Democrat,Truman,44681,4,2,1,266.2,9.3,1.6,23.4,81.7,43.2,,,
1948,6,Democrat,Truman,45033,3.6,2,1,272.9,10.5,-1,24.1,80.3,47.2,,,
1948,9,Democrat,Truman,45295,3.8,2,1,279.5,10,0.5,24.5,81.5,50.3,,,
1948,12,Democrat,Truman,45029,4,2,2,280.7,1.7,1.6,24.1,82.6,52.5,,,
1949,3,Democrat,Truman,44238,5,2,2,275.4,-7.3,4,23.8,82.9,51.3,,,
1949,6,Democrat,Truman,43739,6.2,2,2,271.7,-5.2,4.3,23.9,83.8,43.1,,,
1949,9,Democrat,Truman,43784,6.6,2,2,273.3,2.3,10,23.9,89.5,36.2,,,
1949,12,Democrat,Truman,43517,6.6,2,1,271,-3.3,-2.1,23.6,97.1,39.5,,,
1950,3,Democrat,Truman,43952,6.3,2,1,281.2,16,14.6,23.6,99.2,37.5,,,
1950,6,Democrat,Truman,45084,5.4,2,1,290.7,14.3,4.6,23.8,99.9,46.7,,,
1950,9,Democrat,Truman,46442,4.4,2,1,308.5,26.8,8.9,24.4,99.7,52.3,,,
1950,12,Democrat,Truman,46855,4.3,2,1,320.3,16.2,0.6,25,98.6,58.6,,,
1951,3,Democrat,Truman,47871,3.4,2,1,336.4,21.6,0.8,25.8,98.1,68.4,,,
1951,6,Democrat,Truman,48068,3.2,2,1,344.5,10,-1.4,25.9,99.4,64.6,,,
1951,9,Democrat,Truman,47955,3.3,2,1,351.8,8.8,9.5,26.1,100.4,67.4,,,
1951,12,Democrat,Truman,48309,3.1,2,1,356.6,5.6,1,26.5,98.9,62,,,
1952,3,Democrat,Truman,48504,2.9,2,1,360.2,4.1,1.7,26.3,95.2,57.1,,,
1952,6,Democrat,Truman,48286,3,2,1,361.4,1.4,-0.3,26.5,91.2,58.1,,,
1952,9,Democrat,Truman,49319,3.1,2,1,368.1,7.6,-1.5,26.7,87.3,53,,,
1952,12,Democrat,Truman,50164,2.7,2,1,381.2,15.1,8.2,26.7,86.2,57.2,,,
1953,3,Democrat,Truman,50475,2.6,2,1,388.5,7.8,3.2,26.6,90.7,60.7,,,
1953,6,Democrat,Truman,50522,2.5,2,1,392.3,4,1.3,26.8,81.3,61.7,,,
1953,9,Republican,Eisenhower,50365,2.9,2,2,391.7,-0.6,2,26.9,80.8,62.1,,,
1953,12,Republican,Eisenhower,49702,4.5,2,2,386.5,-5.2,-1.5,26.9,80.7,61.4,,,
